Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"3.0000","29.1972","95.6081","42.6860","1.4081"
"3.0200","29.3972","96.0459","42.9783","1.4145"
"3.0400","29.5972","96.4254","43.2707","1.4201"
"3.0600","29.7972","97.0004","43.5631","1.4286"
"3.0800","29.9972","97.4004","43.8555","1.4345"
"3.1000","30.1972","97.8633","44.1479","1.4413"
"3.1200","30.3972","98.2957","44.4403","1.4477"
"3.1400","30.5972","98.6747","44.7327","1.4532"
"3.1600","30.7971","99.0461","45.0250","1.4587"
"3.1800","30.9971","99.5706","45.3174","1.4664"
"3.2000","31.1971","100.0016","45.6098","1.4728"
"3.2200","31.3971","100.5408","45.9022","1.4807"
"3.2400","31.5971","100.9962","46.1946","1.4874"
"3.2600","31.7971","101.4245","46.4870","1.4937"
"3.2800","31.9971","101.7394","46.7794","1.4984"
"3.3000","32.1971","102.1903","47.0719","1.5050"
"3.3200","32.3971","102.5871","47.3642","1.5109"
"3.3400","32.5971","102.9620","47.6566","1.5164"
"3.3600","32.7971","103.3148","47.9490","1.5216"
"3.3800","32.9971","103.8086","48.2414","1.5288"
"3.4000","33.1971","104.2109","48.5338","1.5348"
"3.4200","33.3972","104.6793","48.8263","1.5417"
"3.4400","33.5972","105.1044","49.1187","1.5479"
"3.4600","33.7972","105.4592","49.4111","1.5532"
"3.4800","33.9972","105.7997","49.7035","1.5582"
"3.5000","34.1971","106.1889","49.9958","1.5639"
"3.5200","34.3971","106.6278","50.2882","1.5704"
"3.5400","34.5971","107.0432","50.5806","1.5765"
"3.5600","34.7972","107.3805","50.8730","1.5815"
"3.5800","34.9972","107.8221","51.1655","1.5880"
"3.6000","35.1972","108.2385","51.4579","1.5941"
"3.6200","35.3971","108.5500","51.7502","1.5987"
"3.6400","35.5971","108.9585","52.0426","1.6047"
"3.6600","35.7971","109.3342","52.3350","1.6102"
"3.6800","35.9971","109.7739","52.6274","1.6167"
"3.7000","36.1971","110.2259","52.9198","1.6234"
"3.7200","36.3971","110.5552","53.2122","1.6282"
"3.7400","36.5971","110.9265","53.5046","1.6337"
"3.7600","36.7971","111.3823","53.7970","1.6404"
"3.7800","36.9971","111.7383","54.0893","1.6456"
"3.8000","37.1971","112.1017","54.3817","1.6510"
"3.8200","37.3971","112.4896","54.6741","1.6567"
"3.8400","37.5971","112.7438","54.9665","1.6604"
"3.8600","37.7971","113.1051","55.2589","1.6658"
"3.8800","37.9971","113.4487","55.5513","1.6708"
"3.9000","38.1971","113.7636","55.8437","1.6755"
"3.9200","38.3972","114.1302","56.1362","1.6809"
"3.9400","38.5972","114.4930","56.4286","1.6862"
"3.9600","38.7972","114.9041","56.7210","1.6923"
"3.9800","38.9972","115.3606","57.0134","1.6990"
"4.0000","39.1972","115.6432","57.3058","1.7031"
"4.0200","39.3972","116.0083","57.5983","1.7085"
"4.0400","39.5972","116.4195","57.8907","1.7146"
"4.0600","39.7972","116.7391","58.1830","1.7193"
"4.0800","39.9971","117.0534","58.4753","1.7239"
"4.1000","40.1971","117.4116","58.7677","1.7292"
"4.1200","40.3971","117.7771","59.0601","1.7346"
"4.1400","40.5971","118.1018","59.3525","1.7393"
"4.1600","40.7971","118.4966","59.6449","1.7452"
"4.1800","40.9972","118.8218","59.9374","1.7500"
"4.2000","41.1972","119.1846","60.2298","1.7553"
"4.2200","41.3972","119.5482","60.5222","1.7607"
"4.2400","41.5971","119.8683","60.8145","1.7654"
"4.2600","41.7971","120.1291","61.1069","1.7692"
"4.2800","41.9971","120.5278","61.3993","1.7751"
"4.3000","42.1971","120.8976","61.6916","1.7805"
"4.3200","42.3971","121.2679","61.9840","1.7860"
"4.3400","42.5971","121.5777","62.2764","1.7905"
"4.3600","42.7971","121.8620","62.5688","1.7947"
"4.3800","42.9971","122.2252","62.8613","1.8001"
"4.4000","43.1971","122.5434","63.1537","1.8048"
"4.4200","43.3972","122.7694","63.4461","1.8081"
"4.4400","43.5972","123.1207","63.7385","1.8133"
"4.4600","43.7972","123.4462","64.0309","1.8181"
"4.4800","43.9972","123.7721","64.3233","1.8229"
"4.5000","44.1972","124.1426","64.6157","1.8283"
"4.5200","44.3972","124.4129","64.9081","1.8323"
"4.5400","44.5972","124.7408","65.2006","1.8371"
"4.5600","44.7972","125.0994","65.4930","1.8424"
"4.5800","44.9972","125.4233","65.7853","1.8472"
"4.6000","45.1971","125.6749","66.0777","1.8509"
"4.6200","45.3971","126.0348","66.3700","1.8562"
"4.6400","45.5971","126.2929","66.6624","1.8600"
"4.6600","45.7971","126.6487","66.9549","1.8652"
"4.6800","45.9972","127.0132","67.2473","1.8706"
"4.7000","46.1972","127.2615","67.5397","1.8742"
"4.7200","46.3972","127.5394","67.8321","1.8783"
"4.7400","46.5972","128.0056","68.1245","1.8852"
"4.7600","46.7971","128.2674","68.4168","1.8891"
"4.7800","46.9971","128.5855","68.7091","1.8937"
"4.8000","47.1971","128.8968","69.0015","1.8983"
"4.8200","47.3971","129.0904","69.2940","1.9012"
"4.8400","47.5971","129.3354","69.5864","1.9048"
"4.8600","47.7971","129.7135","69.8788","1.9104"
"4.8800","47.9971","130.0769","70.1712","1.9157"
"4.9000","48.1971","130.2743","70.4637","1.9186"
"4.9200","48.3971","130.4896","70.7560","1.9218"
"4.9400","48.5971","130.8273","71.0484","1.9268"
"4.9600","48.7971","131.0505","71.3408","1.9301"
"4.9800","48.9972","131.3876","71.6333","1.9350"
"5.0000","49.1972","131.7056","71.9258","1.9397"
"5.0200","49.3972","132.0376","72.2182","1.9446"
"5.0400","49.5972","132.3575","72.5106","1.9493"
"5.0600","49.7972","132.6423","72.8029","1.9535"
"5.0800","49.9972","132.9285","73.0953","1.9577"
"5.1000","50.1971","133.1876","73.3876","1.9615"
"5.1200","50.3971","133.4228","73.6800","1.9650"
"5.1400","50.5971","133.7934","73.9724","1.9704"
"5.1600","50.7972","134.0522","74.2649","1.9743"
"5.1800","50.9972","134.2882","74.5573","1.9777"
"5.2000","51.1972","134.7178","74.8497","1.9841"
"5.2200","51.3971","135.0398","75.1420","1.9888"
"5.2400","51.5971","135.2613","75.4343","1.9921"
"5.2600","51.7971","135.4577","75.7267","1.9950"
"5.2800","51.9971","135.7116","76.0191","1.9987"
"5.3000","52.1971","135.9937","76.3115","2.0029"
"5.3200","52.3971","136.3247","76.6040","2.0077"
"5.3400","52.5971","136.6867","76.8964","2.0131"
"5.3600","52.7971","137.0288","77.1888","2.0181"
"5.3800","52.9971","137.2595","77.4812","2.0215"
"5.4000","53.1971","137.4371","77.7736","2.0241"
"5.4200","53.3971","137.7165","78.0659","2.0282"
"5.4400","53.5971","137.9502","78.3584","2.0317"
"5.4600","53.7972","138.2706","78.6508","2.0364"
"5.4800","53.9972","138.6546","78.9432","2.0420"
"5.5000","54.1972","138.8564","79.2356","2.0450"
"5.5200","54.3972","139.0481","79.5280","2.0478"
"5.5400","54.5972","139.2732","79.8205","2.0512"
"5.5600","54.7972","139.5758","80.1128","2.0556"
"5.5800","54.9971","139.8676","80.4051","2.0599"
"5.6000","55.1971","140.0980","80.6975","2.0633"
"5.6200","55.3971","140.3640","80.9899","2.0672"
"5.6400","55.5971","140.7013","81.2824","2.0722"
"5.6600","55.7972","141.0452","81.5748","2.0772"
"5.6800","55.9972","141.2998","81.8672","2.0810"
"5.7000","56.1972","141.5071","82.1596","2.0841"
"5.7200","56.3972","141.7094","82.4520","2.0870"
"5.7400","56.5971","142.0688","82.7443","2.0923"
"5.7600","56.7971","142.2317","83.0366","2.0947"
"5.7800","56.9971","142.4819","83.3290","2.0984"
"5.8000","57.1971","142.7829","83.6215","2.1028"
"5.8200","57.3971","143.1216","83.9139","2.1078"
"5.8400","57.5971","143.3942","84.2063","2.1118"
"5.8600","57.7971","143.6167","84.4988","2.1151"
"5.8800","57.9971","143.9068","84.7911","2.1194"
"5.9000","58.1971","144.1886","85.0835","2.1235"
"5.9200","58.3971","144.4410","85.3759","2.1273"
"5.9400","58.5971","144.5750","85.6683","2.1292"
"5.9600","58.7972","144.7500","85.9608","2.1318"
"5.9800","58.9972","145.0107","86.2532","2.1357"
"6.0000","59.1972","145.3392","86.5456","2.1405"
"6.0200","59.3972","145.5573","86.8381","2.1437"
"6.0400","59.5972","145.7702","87.1304","2.1468"
"6.0600","59.7971","146.1256","87.4227","2.1521"
"6.0800","59.9971","146.3111","87.7151","2.1548"
"6.1000","60.1971","146.5571","88.0075","2.1584"
"6.1200","60.3971","146.8409","88.2999","2.1626"
"6.1400","60.5972","147.0758","88.5923","2.1661"
"6.1600","60.7972","147.3403","88.8848","2.1700"
"6.1800","60.9972","147.6061","89.1772","2.1739"
"6.2000","61.1972","147.8853","89.4695","2.1780"
"6.2200","61.3971","148.1264","89.7618","2.1815"
"6.2400","61.5971","148.3372","90.0542","2.1846"
"6.2600","61.7971","148.5039","90.3466","2.1871"
"6.2800","61.9971","148.8851","90.6390","2.1927"
"6.3000","62.1971","149.1798","90.9314","2.1971"
"6.3200","62.3971","149.3504","91.2238","2.1996"
"6.3400","62.5971","149.5799","91.5163","2.2029"
"6.3600","62.7971","149.8851","91.8086","2.2074"
"6.3800","62.9971","150.0730","92.1010","2.2102"
"6.4000","63.1971","150.2632","92.3934","2.2130"
"6.4200","63.3971","150.4784","92.6859","2.2162"
"6.4400","63.5972","150.7346","92.9783","2.2200"
"6.4600","63.7972","151.0150","93.2708","2.2241"
"6.4800","63.9972","151.2229","93.5632","2.2271"
"6.5000","64.1972","151.4207","93.8556","2.2301"
"6.5200","64.3972","151.6562","94.1479","2.2335"
"6.5400","64.5972","151.9212","94.4403","2.2374"
"6.5600","64.7971","152.1276","94.7326","2.2405"
"6.5800","64.9971","152.3270","95.0251","2.2434"
"6.6000","65.1972","152.5911","95.3175","2.2473"
