Force,Compressive stress,Compressive strain (Displacement)
(N),(MPa),(%)
"0.3818","0.0000","122947609600.0000"
"0.3867","0.0000","123940800000.0000"
"0.3903","0.0000","124934745600.0000"
"0.3924","0.0000","125929472000.0000"
"0.3933","0.0000","126924953600.0000"
"0.3937","0.0000","127921241600.0000"
"0.3944","0.0000","128918297600.0000"
"0.3955","0.0000","129916160000.0000"
"0.3965","0.0000","130914828800.0000"
"0.3966","0.0000","131914291200.0000"
"0.3958","0.0000","132914534400.0000"
"0.3941","0.0000","133915558400.0000"
"0.3920","0.0000","134917363200.0000"
"0.3899","0.0000","135919910400.0000"
"0.3885","0.0000","136923200000.0000"
"0.3879","0.0000","137927232000.0000"
"0.3874","0.0000","138931929600.0000"
"0.3869","0.0000","139937344000.0000"
"0.3860","0.0000","140943398400.0000"
"0.3843","0.0000","141950118400.0000"
"0.3810","0.0000","142957452800.0000"
"0.3766","0.0000","143965363200.0000"
"0.3721","0.0000","144973849600.0000"
"0.3683","0.0000","145982912000.0000"
"0.3657","0.0000","146992473600.0000"
"0.3638","0.0000","148002547200.0000"
"0.3624","0.0000","149013081600.0000"
"0.3610","0.0000","150024102400.0000"
"0.3597","0.0000","151035507200.0000"
"0.3587","0.0000","152047321600.0000"
"0.3582","0.0000","153059507200.0000"
"0.3582","0.0000","154072025600.0000"
"0.3585","0.0000","155084864000.0000"
"0.3588","0.0000","156097971200.0000"
"0.3587","0.0000","157111334400.0000"
"0.3580","0.0000","158124928000.0000"
"0.3565","0.0000","159138713600.0000"
"0.3550","0.0000","160152640000.0000"
"0.3542","0.0000","161166720000.0000"
"0.3546","0.0000","162180864000.0000"
"0.3561","0.0000","163195097600.0000"
"0.3583","0.0000","164209369600.0000"
"0.3612","0.0000","165223654400.0000"
"0.3652","0.0000","166237913600.0000"
"0.3701","0.0000","167252147200.0000"
"0.3756","0.0000","168266304000.0000"
"0.3807","0.0000","169280396800.0000"
"0.3845","0.0000","170294387200.0000"
"0.3866","0.0000","171308262400.0000"
"0.3875","0.0000","172321996800.0000"
"0.3876","0.0000","173335564800.0000"
"0.3864","0.0000","174348992000.0000"
"0.3837","0.0000","175362214400.0000"
"0.3797","0.0000","176375244800.0000"
"0.3755","0.0000","177388083200.0000"
"0.3722","0.0000","178400665600.0000"
"0.3707","0.0000","179413043200.0000"
"0.3718","0.0000","180425164800.0000"
"0.3759","0.0000","181437004800.0000"
"0.3830","0.0000","182448588800.0000"
"0.3923","0.0000","183459878400.0000"
"0.4021","0.0000","184470899200.0000"
"0.4111","0.0001","185481587200.0000"
"0.4187","0.0001","186491980800.0000"
"0.4248","0.0001","187502041600.0000"
"0.4295","0.0001","188511769600.0000"
"0.4331","0.0001","189521177600.0000"
"0.4356","0.0001","190530227200.0000"
"0.4372","0.0001","191538944000.0000"
"0.4385","0.0001","192547328000.0000"
"0.4401","0.0001","193555366400.0000"
"0.4428","0.0001","194563059200.0000"
"0.4466","0.0001","195570419200.0000"
"0.4513","0.0001","196577446400.0000"
"0.4566","0.0001","197584166400.0000"
"0.4625","0.0001","198590528000.0000"
"0.4690","0.0001","199596608000.0000"
"0.4756","0.0001","200602368000.0000"
"0.4815","0.0001","201607833600.0000"
"0.4866","0.0001","202612979200.0000"
"0.4911","0.0001","203617868800.0000"
"0.4952","0.0001","204622412800.0000"
"0.4991","0.0001","205626713600.0000"
"0.5031","0.0001","206630758400.0000"
"0.5072","0.0001","207634483200.0000"
"0.5114","0.0001","208637977600.0000"
"0.5152","0.0001","209641177600.0000"
"0.5182","0.0001","210644160000.0000"
"0.5208","0.0001","211646848000.0000"
"0.5236","0.0001","212649280000.0000"
"0.5273","0.0001","213651494400.0000"
"0.5317","0.0001","214653478400.0000"
"0.5365","0.0001","215655219200.0000"
"0.5409","0.0001","216656768000.0000"
"0.5448","0.0001","217658060800.0000"
"0.5484","0.0001","218659200000.0000"
"0.5520","0.0001","219660160000.0000"
"0.5558","0.0001","220660915200.0000"
"0.5600","0.0001","221661491200.0000"
"0.5647","0.0001","222661964800.0000"
"0.5698","0.0001","223662259200.0000"
"0.5752","0.0001","224662425600.0000"
"0.5810","0.0001","225662489600.0000"
"0.5878","0.0001","226662451200.0000"
"0.5959","0.0001","227662310400.0000"
"0.6054","0.0001","228662041600.0000"
"0.6162","0.0001","229661721600.0000"
